img,link,prod,price
https://www.bigbasket.com/media/uploads/p/mm/30005576_6-lays-potato-chips-spanish-tomato-tango.jpg,https://www.bigbasket.com/pd/30005576/lays-potato-chips-spanish-tomato-tango-95-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Potato Chips - Spanish Tomato Tango,35
https://www.bigbasket.com/media/uploads/p/mm/251011_9-kelloggs-special-k.jpg,https://www.bigbasket.com/pd/251011/kelloggs-special-k-435-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Special K,210
https://www.bigbasket.com/media/uploads/p/mm/40073727_7-bb-royal-honey.jpg,https://www.bigbasket.com/pd/40073727/bb-royal-honey-500-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Honey,169
https://www.bigbasket.com/media/uploads/p/mm/1203237_1-cadbury-dairy-milk-silk-chocolate-bar.jpg,https://www.bigbasket.com/pd/1203237/cadbury-dairy-milk-silk-chocolate-bar-2x150-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Silk Chocolate Bar,320
https://www.bigbasket.com/media/uploads/p/mm/40019374_11-cadbury-dairy-milk-chocolate-home-treats-pack.jpg,https://www.bigbasket.com/pd/40019374/cadbury-dairy-milk-chocolate-home-treats-pack-126-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Chocolate Home Treats Pack,149
https://www.bigbasket.com/media/uploads/p/mm/40000682_25-kelloggs-honey-crunch-corn-flakes.jpg,https://www.bigbasket.com/pd/40000682/kelloggs-honey-crunch-corn-flakes-630-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Honey Crunch Corn Flakes,290
https://www.bigbasket.com/media/uploads/p/mm/1203470_1-oreo-choco-creme-biscuits.jpg,https://www.bigbasket.com/pd/1203470/oreo-choco-creme-biscuits-3x120-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Choco Creme Biscuits,90
https://www.bigbasket.com/media/uploads/p/mm/1207255_6-britannia-biscuits-little-hearts.jpg,https://www.bigbasket.com/pd/1207255/britannia-biscuits-little-hearts-10x20-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Biscuits - Little Hearts,50
https://www.bigbasket.com/media/uploads/p/mm/40186047_1-bambino-macaroni-elbow-pasta.jpg,https://www.bigbasket.com/pd/40186047/bambino-macaroni-elbow-pasta-875-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Macaroni Elbow Pasta,100
https://www.bigbasket.com/media/uploads/p/mm/40128455_3-saffola-masala-oats-veggie-twist.jpg,https://www.bigbasket.com/pd/40128455/saffola-masala-oats-veggie-twist-500-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Masala Oats - Veggie Twist,190
https://www.bigbasket.com/media/uploads/p/mm/40009931_10-parle-hide-seek-chocolate.jpg,https://www.bigbasket.com/pd/40009931/parle-hide-seek-chocolate-200-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Hide & Seek - Chocolate,50
https://www.bigbasket.com/media/uploads/p/mm/100012346_4-britannia-nice-time-coconut-biscuits.jpg,https://www.bigbasket.com/pd/100012346/britannia-nice-time-coconut-biscuits-73-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Nice Time Coconut Biscuits,10
https://www.bigbasket.com/media/uploads/p/mm/1200150_2-chings-hakka-noodles-veg.jpg,https://www.bigbasket.com/pd/1200150/chings-hakka-noodles-veg-2x150-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Hakka Noodles - Veg,50
https://www.bigbasket.com/media/uploads/p/mm/40056215_2-mcvities-digestive-biscuits.jpg,https://www.bigbasket.com/pd/40056215/mcvities-digestive-biscuits-200-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Digestive Biscuits,159
https://www.bigbasket.com/media/uploads/p/mm/100012341_8-britannia-good-day-butter-cookies.jpg,https://www.bigbasket.com/pd/100012341/britannia-good-day-butter-cookies-75-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Good Day Butter Cookies,10
https://www.bigbasket.com/media/uploads/p/mm/40114334_2-kelloggs-chocos-fills.jpg,https://www.bigbasket.com/pd/40114334/kelloggs-chocos-fills-250-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Chocos Fills,175
https://www.bigbasket.com/media/uploads/p/mm/20000849_5-karachi-bakery-cashew-biscuits.jpg,https://www.bigbasket.com/pd/20000849/karachi-bakery-cashew-biscuits-400-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Cashew Biscuits,160
https://www.bigbasket.com/media/uploads/p/mm/264984_3-lijjat-papad-punjabi-masala.jpg,https://www.bigbasket.com/pd/264984/lijjat-papad-punjabi-masala-250-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Papad - Punjabi Masala,90
