img,link,prod,price,,,,,,
https://m.media-amazon.com/images/I/7102-pdCFAL._AC_UL320_ML3_.jpg,https://www.amazon.in/Kohinoor-Super-Value-Basmati-1-2kg/dp/B07NQTJ91J/ref=sr_1_51?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472068&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-51&srs=9574332031,"Kohinoor Super Value Basmati Rice, Blue, 1kg (20% extra)",136,,,,,,
https://m.media-amazon.com/images/I/61qwkLVRj1L._AC_UL320_ML3_.jpg,https://www.amazon.in/Surf-Excel-Matic-Liquid-Detergent/dp/B072N7KSGZ/ref=sr_1_52?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472068&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-52&srs=9574332031,Surf Excel Matic Top Load Liquid Detergent - 1.02L,188,,,,,,
https://m.media-amazon.com/images/I/81zJ0jYFYZL._AC_UL320_ML3_.jpg,https://www.amazon.in/Amazon-Brand-Vedaka-Foxnuts-100g/dp/B07N9KCRWC/ref=sr_1_53?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472068&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-53&srs=9574332031,Amazon Brand - Vedaka Fox Nuts (Phool Makhana) 100g,120,,,,,,
https://m.media-amazon.com/images/I/71wdykQAs4L._AC_UL320_ML3_.jpg,https://www.amazon.in/Vim-Dishwash-Bar-Super-Saver/dp/B07WFPLFPV/ref=sr_1_54?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472068&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-54&srs=9574332031,Vim Dishwash Bar - 600 g (Super Saver Pack 3 x 200g),44,,,,,,
https://m.media-amazon.com/images/I/61VGYi4fkzL._AC_UL320_ML3_.jpg,https://www.amazon.in/Kohinoor-Super-Silver-Aged-Basmati/dp/B07T3DTHWM/ref=sr_1_55?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472068&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-55&srs=9574332031,"Kohinoor Super Silver Aged Basmati Rice,5kg",519,,,,,,
https://m.media-amazon.com/images/I/81JCOx3lLxL._AC_UL320_ML3_.jpg,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Kabuli/dp/B079NQZBQR/ref=sr_1_56?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472068&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-56&srs=9574332031,"Amazon Brand - Vedaka Popular Kabuli Chana / Chhole, 1 kg",106,,,,,,
https://m.media-amazon.com/images/I/613rLd3PhSL._AC_UL320_ML3_.jpg,https://www.amazon.in/Kohinoor-Super-Value-Basmati-Rice/dp/B07NQVNZ5K/ref=sr_1_57?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472068&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-57&srs=9574332031,"Kohinoor Super Value Basmati Rice, Blue, 5kg",559,,,,,,
https://m.media-amazon.com/images/I/61PL0xDVY6L._AC_UL320_ML3_.jpg,https://www.amazon.in/Colin-Glass-Cleaner-Liquid-Refill/dp/B071KTH1NK/ref=sr_1_58?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472068&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-58&srs=9574332031,"Colin Glass and Household Cleaner with Shine Boosters Refill, Regular - 1L",134,,,,,,
https://m.media-amazon.com/images/I/51S02Z7QEFL._AC_UL320_ML3_.jpg,https://www.amazon.in/Amazon-Brand-Solimo-Premium-Cashews/dp/B01LXALEKH/ref=sr_1_59?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472068&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-59&srs=9574332031,"Amazon Brand - Solimo Premium Cashews, 250g",335,,,,,,
https://m.media-amazon.com/images/I/71jOC7SFXhL._AC_UL320_ML3_.jpg,https://www.amazon.in/Saffola-Active-Weight-Watchers-Edible/dp/B01H5LRKL8/ref=sr_1_60?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472068&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-60&srs=9574332031,"Saffola Active, Pro Weight Watchers Edible Oil, Jar, 5 L",599,,,,,,
https://m.media-amazon.com/images/I/618ghcozh8L._AC_UL320_ML3_.jpg,https://www.amazon.in/Pears-Pure-Gentle-Bathing-125g/dp/B0744RWT9D/ref=sr_1_61?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472068&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-61&srs=9574332031,"Pears Pure And Gentle Bathing Bar, 125g (Pack Of 5)",215,,,,,,
https://m.media-amazon.com/images/I/81gDRxHSFcL._AC_UL320_ML3_.jpg,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Kabuli/dp/B079NR7HXW/ref=sr_1_62?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472068&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-62&srs=9574332031,"Amazon Brand - Vedaka Premium Kabuli Chana / Chhole, 1 kg",125,,,,,,
https://m.media-amazon.com/images/I/61Ec7Lf9uUL._AC_UL320_ML3_.jpg,https://www.amazon.in/Colgate-Advanced-Health-Anticavity-Toothpaste/dp/B07L6JBD5M/ref=sr_1_63?crid=TF74J8XYCT71&dchild=1&fpw=pantry&keywords=groceries+all+items+price&qid=1587472068&s=pantry&sprefix=groce%2Cpantry%2C275&sr=8-63&srs=9574332031,"Colgate Total Advanced Health Anticavity Toothpaste, 185g",135,,,,,,
